BirdID,Experiment,Trial,Correct,,,
KM-RY,Colour assoc.,Probe,N,,,
KM-RY,Colour assoc.,1,N,,,
KM-RY,Colour assoc.,2,Y,,,
KM-RY,Colour assoc.,3,N,,,
KM-RY,Colour assoc.,4,Y,,,
KM-RY,Colour assoc.,5,Y,,,
KM-RY,Colour assoc.,6,N,,,
KM-RY,Colour assoc.,7,N,,,
KM-RY,Colour assoc.,8,Y,,,
KM-RY,Colour assoc.,9,N,,,
KM-RY,Colour assoc.,10,N,,,
KM-RY,Colour assoc.,11,Y,,,
KM-RY,Colour assoc.,12,N,,,
KM-RY,Colour assoc.,13,N,,,
KM-RY,Colour assoc.,14,Y,,,
KM-RY,Colour assoc.,15,N,,,
KM-RY,Colour assoc.,16,N,,,
KM-RY,Colour assoc.,17,N,,,
KM-RY,Colour assoc.,18,N,,,
KM-RY,Colour assoc.,19,N,,,
KM-RY,Colour assoc.,20,Y,,,
KM-RY,Colour assoc.,21,N,,,
KM-RY,Colour assoc.,22,N,,,
KM-RY,Colour assoc.,23,Y,,,
KM-RY,Colour assoc.,24,Y,,,
KM-RY,Colour assoc.,25,Y,,,
KM-RY,Colour assoc.,26,N,,,
KM-RY,Colour assoc.,27,Y,,,
KM-RY,Colour assoc.,28,N,,,
KM-RY,Colour assoc.,29,N,,,
KM-RY,Colour assoc.,30,Y,,,
KM-RY,Colour assoc.,31,Y,,,
KM-RY,Colour assoc.,32,N,,,
KM-RY,Colour assoc.,33,Y,,,
KM-RY,Colour assoc.,34,N,,,
KM-RY,Colour assoc.,35,Y,,,
KM-RY,Colour assoc.,36,Y,,,
KM-RY,Colour assoc.,37,Y,,,
KM-RY,Colour assoc.,38,Y,,,
KM-RY,Colour assoc.,39,Y,,,
KM-RY,Colour assoc.,40,N,,,
KM-RY,Colour assoc.,41,Y,,,
KM-RY,Colour assoc.,42,Y,,,
KM-RY,Colour assoc.,43,Y,,,
KM-RY,Colour assoc.,44,Y,,,
KM-RY,Colour reversal,Probe,Y,,,
KM-RY,Colour reversal,1,N,,,
KM-RY,Colour reversal,2,N,,,
KM-RY,Colour reversal,3,N,,,
KM-RY,Colour reversal,4,N,,,
KM-RY,Colour reversal,5,N,,,
KM-RY,Colour reversal,6,N,,,
KM-RY,Colour reversal,7,Y,,,
KM-RY,Colour reversal,8,Y,,,
KM-RY,Colour reversal,9,Y,,,
KM-RY,Colour reversal,10,N,,,
KM-RY,Colour reversal,11,N,,,
KM-RY,Colour reversal,12,N,,,
KM-RY,Colour reversal,13,Y,,,
KM-RY,Colour reversal,14,N,,,
KM-RY,Colour reversal,15,Y,,,
KM-RY,Colour reversal,16,N,,,
KM-RY,Colour reversal,17,N,,,
KM-RY,Colour reversal,18,Y,,,
KM-RY,Colour reversal,19,Y,,,
KM-RY,Colour reversal,20,Y,,,
KM-RY,Colour reversal,21,N,,,
KM-RY,Colour reversal,22,Y,,,
KM-RY,Colour reversal,23,N,,,
KM-RY,Colour reversal,24,N,,,
KM-RY,Colour reversal,25,Y,,,
KM-RY,Colour reversal,26,Y,,,
KM-RY,Colour reversal,27,N,,,
KM-RY,Colour reversal,28,N,,,
KM-RY,Colour reversal,29,N,,,
KM-RY,Colour reversal,30,N,,,
KM-RY,Colour reversal,31,N,,,
KM-RY,Colour reversal,32,N,,,
KM-RY,Colour reversal,33,Y,,,
KM-RY,Colour reversal,34,N,,,
KM-RY,Colour reversal,35,N,,,
KM-RY,Colour reversal,36,N,,,
KM-RY,Colour reversal,37,N,,,
KM-RY,Colour reversal,38,N,,,
KM-RY,Colour reversal,39,Y,,,
KM-RY,Colour reversal,40,Y,,,
KM-RY,Colour reversal,41,Y,,,
KM-RY,Colour reversal,42,Y,,,
KM-RY,Colour reversal,43,Y,,,
KM-RY,Colour reversal,44,Y,,,
KM-RY,Colour reversal,45,Y,,,
KM-RY,Colour reversal,46,Y,,,
KM-RY,Colour reversal,47,N,,,
KM-RY,Colour reversal,48,Y,,,
KM-RY,Colour reversal,49,N,,,
KM-RY,Colour reversal,50,Y,,,
BfP-YM,Colour assoc.,Probe,N,,,
BfP-YM,Colour assoc.,1,N,,,
BfP-YM,Colour assoc.,2,N,,,
BfP-YM,Colour assoc.,3,N,,,
BfP-YM,Colour assoc.,4,Y,,,
BfP-YM,Colour assoc.,5,N,,,
BfP-YM,Colour assoc.,6,N,,,
BfP-YM,Colour assoc.,7,N,,,
BfP-YM,Colour assoc.,8,Y,,,
BfP-YM,Colour assoc.,9,Y,,,
BfP-YM,Colour assoc.,10,N,,,
BfP-YM,Colour assoc.,11,Y,,,
BfP-YM,Colour assoc.,12,Y,,,
BfP-YM,Colour assoc.,13,N,,,
BfP-YM,Colour assoc.,14,N,,,
BfP-YM,Colour assoc.,15,Y,,,
BfP-YM,Colour assoc.,16,N,,,
BfP-YM,Colour assoc.,17,N,,,
BfP-YM,Colour assoc.,18,N,,,
BfP-YM,Colour assoc.,19,Y,,,
BfP-YM,Colour assoc.,20,Y,,,
BfP-YM,Colour assoc.,21,N,,,
BfP-YM,Colour assoc.,22,Y,,,
BfP-YM,Colour assoc.,23,N,,,
BfP-YM,Colour assoc.,24,Y,,,
BfP-YM,Colour assoc.,25,Y,,,
BfP-YM,Colour assoc.,26,Y,,,
BfP-YM,Colour assoc.,27,Y,,,
BfP-YM,Colour assoc.,28,N,,,
BfP-YM,Colour assoc.,29,N,,,
BfP-YM,Colour assoc.,30,N,,,
BfP-YM,Colour assoc.,31,Y,,,
BfP-YM,Colour assoc.,32,Y,,,
BfP-YM,Colour assoc.,33,Y,,,
BfP-YM,Colour assoc.,34,Y,,,
BfP-YM,Colour assoc.,35,Y,,,
BfP-YM,Colour assoc.,36,Y,,,
BfP-YM,Colour assoc.,37,N,,,
BfP-YM,Colour assoc.,38,N,,,
BfP-YM,Colour assoc.,39,Y,,,
BfP-YM,Colour assoc.,40,Y,,,
BfP-YM,Colour assoc.,41,Y,,,
BfP-YM,Colour assoc.,42,Y,,,
BfP-YM,Colour assoc.,43,N,,,
BfP-YM,Colour assoc.,44,Y,,,
BfP-YM,Colour reversal,Probe,N,,,
BfP-YM,Colour reversal,1,N,,,
BfP-YM,Colour reversal,2,Y,,,
BfP-YM,Colour reversal,3,N,,,
BfP-YM,Colour reversal,4,N,,,
BfP-YM,Colour reversal,5,N,,,
BfP-YM,Colour reversal,6,N,,,
BfP-YM,Colour reversal,7,N,,,
BfP-YM,Colour reversal,8,N,,,
BfP-YM,Colour reversal,9,Y,,,
BfP-YM,Colour reversal,10,N,,,
BfP-YM,Colour reversal,11,N,,,
BfP-YM,Colour reversal,12,Y,,,
BfP-YM,Colour reversal,13,Y,,,
BfP-YM,Colour reversal,14,Y,,,
BfP-YM,Colour reversal,15,Y,,,
BfP-YM,Colour reversal,16,Y,,,
BfP-YM,Colour reversal,17,N,,,
BfP-YM,Colour reversal,18,Y,,,
BfP-YM,Colour reversal,19,N,,,
BfP-YM,Colour reversal,20,Y,,,
BfP-YM,Colour reversal,21,N,,,
BfP-YM,Colour reversal,22,Y,,,
BfP-YM,Colour reversal,23,Y,,,
BfP-YM,Colour reversal,24,N,,,
BfP-YM,Colour reversal,25,N,,,
BfP-YM,Colour reversal,26,N,,,
BfP-YM,Colour reversal,27,N,,,
BfP-YM,Colour reversal,28,Y,,,
BfP-YM,Colour reversal,29,Y,,,
BfP-YM,Colour reversal,30,N,,,
BfP-YM,Colour reversal,31,N,,,
BfP-YM,Colour reversal,32,Y,,,
BfP-YM,Colour reversal,33,N,,,
BfP-YM,Colour reversal,34,N,,,
BfP-YM,Colour reversal,35,Y,,,
BfP-YM,Colour reversal,36,Y,,,
BfP-YM,Colour reversal,37,Y,,,
BfP-YM,Colour reversal,38,N,,,
BfP-YM,Colour reversal,39,Y,,,
BfP-YM,Colour reversal,40,Y,,,
BfP-YM,Colour reversal,41,Y,,,
BfP-YM,Colour reversal,42,Y,,,
BfP-YM,Colour reversal,43,Y,,,
BfP-YM,Colour reversal,44,Y,,,
BfP-YM,Colour reversal,45,Y,,,
KM-fPG,Colour assoc.,Probe,Y,,,
KM-fPG,Colour assoc.,,N,,,
KM-fPG,Colour assoc.,1,Y,,,
KM-fPG,Colour assoc.,2,N,,,
KM-fPG,Colour assoc.,3,Y,,,
KM-fPG,Colour assoc.,4,Y,,,
KM-fPG,Colour assoc.,5,Y,,,
KM-fPG,Colour assoc.,6,N,,,
KM-fPG,Colour assoc.,7,Y,,,
KM-fPG,Colour assoc.,8,N,,,
KM-fPG,Colour assoc.,9,Y,,,
KM-fPG,Colour assoc.,10,N,,,
KM-fPG,Colour assoc.,11,N,,,
KM-fPG,Colour assoc.,12,Y,,,
KM-fPG,Colour assoc.,13,Y,,,
KM-fPG,Colour assoc.,14,N,,,
KM-fPG,Colour assoc.,15,N,,,
KM-fPG,Colour assoc.,16,Y,,,
KM-fPG,Colour assoc.,17,N,,,
KM-fPG,Colour assoc.,18,Y,,,
KM-fPG,Colour assoc.,19,N,,,
KM-fPG,Colour assoc.,20,Y,,,
KM-fPG,Colour assoc.,21,N,,,
KM-fPG,Colour assoc.,22,Y,,,
KM-fPG,Colour assoc.,23,Y,,,
KM-fPG,Colour assoc.,24,N,,,
KM-fPG,Colour assoc.,25,Y,,,
KM-fPG,Colour assoc.,26,N,,,
KM-fPG,Colour assoc.,27,N,,,
KM-fPG,Colour assoc.,28,Y,,,
KM-fPG,Colour assoc.,29,N,,,
KM-fPG,Colour assoc.,30,Y,,,
KM-fPG,Colour assoc.,31,Y,,,
KM-fPG,Colour assoc.,32,Y,,,
KM-fPG,Colour assoc.,33,Y,,,
KM-fPG,Colour assoc.,34,Y,,,
KM-fPG,Colour assoc.,35,Y,,,
KM-fPG,Colour assoc.,36,N,,,
KM-fPG,Colour assoc.,37,Y,,,
KM-fPG,Colour assoc.,38,Y,,,
KM-fPG,Colour assoc.,39,Y,,,
KM-fPG,Colour assoc.,40,Y,,,
KM-fPG,Colour assoc.,41,Y,,,
KM-fPG,Colour assoc.,42,Y,,,
KM-fPG,Colour reversal,Ignore,N,,,
KM-fPG,Colour reversal,Ignore,Y,,,
KM-fPG,Colour reversal,Ignore,N,,,
KM-fPG,Colour reversal,Probe,N,,,
KM-fPG,Colour reversal,1,N,,,
KM-fPG,Colour reversal,2,Y,,,
KM-fPG,Colour reversal,3,N,,,
KM-fPG,Colour reversal,4,Y,,,
KM-fPG,Colour reversal,5,N,,,
KM-fPG,Colour reversal,6,Y,,,
KM-fPG,Colour reversal,7,N,,,
KM-fPG,Colour reversal,8,Y,,,
KM-fPG,Colour reversal,9,N,,,
KM-fPG,Colour reversal,10,N,,,
KM-fPG,Colour reversal,11,N,,,
KM-fPG,Colour reversal,12,N,,,
KM-fPG,Colour reversal,13,N,,,
KM-fPG,Colour reversal,14,N,,,
KM-fPG,Colour reversal,15,Y,,,
KM-fPG,Colour reversal,16,N,,,
KM-fPG,Colour reversal,17,N,,,
KM-fPG,Colour reversal,18,Y,,,
KM-fPG,Colour reversal,19,Y,,,
KM-fPG,Colour reversal,20,N,,,
KM-fPG,Colour reversal,21,N,,,
KM-fPG,Colour reversal,22,Y,,,
KM-fPG,Colour reversal,23,N,,,
KM-fPG,Colour reversal,24,N,,,
KM-fPG,Colour reversal,25,Y,,,
KM-fPG,Colour reversal,26,N,,,
KM-fPG,Colour reversal,27,Y,,,
KM-fPG,Colour reversal,28,N,,,
KM-fPG,Colour reversal,29,Y,,,
KM-fPG,Colour reversal,30,N,,,
KM-fPG,Colour reversal,31,Y,,,
KM-fPG,Colour reversal,32,Y,,,
KM-fPG,Colour reversal,33,N,,,
KM-fPG,Colour reversal,34,Y,,,
KM-fPG,Colour reversal,35,Y,,,
KM-fPG,Colour reversal,36,Y,,,
KM-fPG,Colour reversal,37,Y,,,
KM-fPG,Colour reversal,38,Y,,,
KM-fPG,Colour reversal,39,N,,,
KM-fPG,Colour reversal,40,Y,,,
KM-fPG,Colour reversal,41,Y,,,
KM-fPG,Colour reversal,42,Y,,,
KM-fPG,Colour reversal,43,Y,,,
GG-YM,Colour assoc.,Probe,N,,,
GG-YM,Colour assoc.,1,N,,,
GG-YM,Colour assoc.,2,N,,,
GG-YM,Colour assoc.,3,N,,,
GG-YM,Colour assoc.,4,N,,,
GG-YM,Colour assoc.,5,N,,,
GG-YM,Colour assoc.,6,N,,,
GG-YM,Colour assoc.,7,N,,,
GG-YM,Colour assoc.,8,N,,,
GG-YM,Colour assoc.,9,N,,,
GG-YM,Colour assoc.,10,N,,,
GG-YM,Colour assoc.,11,N,,,
GG-YM,Colour assoc.,12,N,,,
GG-YM,Colour assoc.,13,N,,,
GG-YM,Colour assoc.,14,Y,,,
GG-YM,Colour assoc.,15,Y,,,
GG-YM,Colour assoc.,16,Y,,,
GG-YM,Colour assoc.,17,Y,,,
GG-YM,Colour assoc.,18,N,,,
GG-YM,Colour assoc.,19,Y,,,
GG-YM,Colour assoc.,20,N,,,
GG-YM,Colour assoc.,21,N,,,
GG-YM,Colour assoc.,22,Y,,,
GG-YM,Colour assoc.,23,N,,,
GG-YM,Colour assoc.,24,N,,,
GG-YM,Colour assoc.,25,N,,,
GG-YM,Colour assoc.,26,N,,,
GG-YM,Colour assoc.,27,N,,,
GG-YM,Colour assoc.,28,N,,,
GG-YM,Colour assoc.,29,Y,,,
GG-YM,Colour assoc.,30,Y,,,
GG-YM,Colour assoc.,31,Y,,,
GG-YM,Colour assoc.,32,N,,,
GG-YM,Colour assoc.,33,N,,,
GG-YM,Colour assoc.,34,Y,,,
GG-YM,Colour assoc.,35,Y,,,
GG-YM,Colour assoc.,36,Y,,,
GG-YM,Colour assoc.,37,N,,,
GG-YM,Colour assoc.,38,Y,,,
GG-YM,Colour assoc.,39,Y,,,
GG-YM,Colour assoc.,40,Y,,,
GG-YM,Colour assoc.,41,Y,,,
GG-YM,Colour assoc.,42,Y,,,
GG-YM,Colour assoc.,43,Y,,,
GG-YM,Colour assoc.,44,Y,,,
GG-YM,Colour reversal,Probe,Y,,,
GG-YM,Colour reversal,1,N,,,
GG-YM,Colour reversal,2,Y,,,
GG-YM,Colour reversal,3,N,,,
GG-YM,Colour reversal,4,N,,,
GG-YM,Colour reversal,5,N,,,
GG-YM,Colour reversal,6,N,,,
GG-YM,Colour reversal,7,N,,,
GG-YM,Colour reversal,8,N,,,
GG-YM,Colour reversal,9,N,,,
GG-YM,Colour reversal,10,N,,,
GG-YM,Colour reversal,11,N,,,
GG-YM,Colour reversal,12,N,,,
GG-YM,Colour reversal,13,N,,,
GG-YM,Colour reversal,14,Y,,,
GG-YM,Colour reversal,15,Y,,,
GG-YM,Colour reversal,16,N,,,
GG-YM,Colour reversal,17,N,,,
GG-YM,Colour reversal,18,Y,,,
GG-YM,Colour reversal,19,N,,,
GG-YM,Colour reversal,20,N,,,
GG-YM,Colour reversal,21,N,,,
GG-YM,Colour reversal,22,Y,,,
GG-YM,Colour reversal,23,N,,,
GG-YM,Colour reversal,24,Y,,,
GG-YM,Colour reversal,25,Y,,,
GG-YM,Colour reversal,26,Y,,,
GG-YM,Colour reversal,27,Y,,,
GG-YM,Colour reversal,28,N,,,
GG-YM,Colour reversal,29,N,,,
GG-YM,Colour reversal,30,N,,,
GG-YM,Colour reversal,31,N,,,
GG-YM,Colour reversal,32,Y,,,
GG-YM,Colour reversal,33,N,,,
GG-YM,Colour reversal,34,N,,,
GG-YM,Colour reversal,35,Y,,,
GG-YM,Colour reversal,36,Y,,,
GG-YM,Colour reversal,37,Y,,,
GG-YM,Colour reversal,38,Y,,,
GG-YM,Colour reversal,39,Y,,,
GG-YM,Colour reversal,40,Y,,,
GG-YM,Colour reversal,41,N,,,
GG-YM,Colour reversal,42,Y,,,
GG-YM,Colour reversal,43,Y,,,
GG-YM,Colour reversal,44,Y,,,
GG-YM,Colour reversal,45,Y,,,
GG-YM,Colour reversal,46,Y,,,
BG-YM,Colour assoc.,Probe,N,,,
BG-YM,Colour assoc.,1,Y,,,
BG-YM,Colour assoc.,2,N,,,
BG-YM,Colour assoc.,3,Y,,,
BG-YM,Colour assoc.,4,Y,,,
BG-YM,Colour assoc.,5,Y,,,
BG-YM,Colour assoc.,6,Y,,,
BG-YM,Colour assoc.,7,Y,,,
BG-YM,Colour assoc.,8,Y,,,
BG-YM,Colour assoc.,9,N,,,
BG-YM,Colour assoc.,10,N,,,
BG-YM,Colour assoc.,11,Y,,,
BG-YM,Colour assoc.,12,Y,,,
BG-YM,Colour assoc.,13,N,,,
BG-YM,Colour assoc.,14,Y,,,
BG-YM,Colour assoc.,15,Y,,,
BG-YM,Colour assoc.,16,N,,,
BG-YM,Colour assoc.,17,Y,,,
BG-YM,Colour assoc.,18,Y,,,
BG-YM,Colour assoc.,19,N,,,
BG-YM,Colour assoc.,20,Y,,,
BG-YM,Colour assoc.,21,N,,,
BG-YM,Colour assoc.,22,Y,,,
BG-YM,Colour assoc.,23,Y,,,
BG-YM,Colour assoc.,24,N,,,
BG-YM,Colour assoc.,25,Y,,,
BG-YM,Colour assoc.,26,Y,,,
BG-YM,Colour assoc.,27,Y,,,
BG-YM,Colour assoc.,28,N,,,
BG-YM,Colour assoc.,29,N,,,
BG-YM,Colour assoc.,30,Y,,,
BG-YM,Colour assoc.,31,Y,,,
BG-YM,Colour assoc.,32,N,,,
BG-YM,Colour assoc.,33,N,,,
BG-YM,Colour assoc.,34,Y,,,
BG-YM,Colour assoc.,35,N,,,
BG-YM,Colour assoc.,36,Y,,,
BG-YM,Colour assoc.,37,N,,,
BG-YM,Colour assoc.,38,N,,,
BG-YM,Colour assoc.,39,Y,,,
BG-YM,Colour assoc.,40,Y,,,
BG-YM,Colour assoc.,41,Y,,,
BG-YM,Colour assoc.,42,Y,,,
BG-YM,Colour assoc.,43,Y,,,
BG-YM,Colour assoc.,44,Y,,,
BG-YM,Colour assoc.,45,N,,,
BG-YM,Colour assoc.,46,Y,,,
BG-YM,Colour assoc.,47,Y,,,
BG-YM,Colour assoc.,48,N,,,
BG-YM,Colour assoc.,49,Y,,,
BG-YM,Colour assoc.,50,Y,,,
BG-YM,Colour reversal,Probe,Y,,,
BG-YM,Colour reversal,1,N,,,
BG-YM,Colour reversal,2,N,,,
BG-YM,Colour reversal,3,N,,,
BG-YM,Colour reversal,4,N,,,
BG-YM,Colour reversal,5,Y,,,
BG-YM,Colour reversal,6,N,,,
BG-YM,Colour reversal,7,N,,,
BG-YM,Colour reversal,8,Y,,,
BG-YM,Colour reversal,9,Y,,,
BG-YM,Colour reversal,10,N,,,
BG-YM,Colour reversal,11,N,,,
BG-YM,Colour reversal,12,Y,,,
BG-YM,Colour reversal,13,Y,,,
BG-YM,Colour reversal,14,Y,,,
BG-YM,Colour reversal,15,N,,,
BG-YM,Colour reversal,16,N,,,
BG-YM,Colour reversal,17,N,,,
BG-YM,Colour reversal,18,Y,,,
BG-YM,Colour reversal,19,N,,,
BG-YM,Colour reversal,20,Y,,,
BG-YM,Colour reversal,21,Y,,,
BG-YM,Colour reversal,22,Y,,,
BG-YM,Colour reversal,23,N,,,
BG-YM,Colour reversal,24,Y,,,
BG-YM,Colour reversal,25,N,,,
BG-YM,Colour reversal,26,Y,,,
BG-YM,Colour reversal,27,Y,,,
BG-YM,Colour reversal,28,Y,,,
BG-YM,Colour reversal,29,N,,,
BG-YM,Colour reversal,30,?,,,
BG-YM,Colour reversal,31,Y,,,
BG-YM,Colour reversal,32,N,,,
BG-YM,Colour reversal,33,Y,,,
BG-YM,Colour reversal,34,N,,,
BG-YM,Colour reversal,35,N,,,
BG-YM,Colour reversal,36,Y,,,
BG-YM,Colour reversal,37,Y,,,
BG-YM,Colour reversal,38,Y,,,
BG-YM,Colour reversal,39,Y,,,
BG-YM,Colour reversal,40,Y,,,
BG-YM,Colour reversal,41,N,,,
BG-YM,Colour reversal,42,Y,,,
BG-YM,Colour reversal,43,N,,,
BG-YM,Colour reversal,44,Y,,,
BG-YM,Colour reversal,45,Y,,,
BG-YM,Colour reversal,46,N,,,
BG-YM,Colour reversal,47,Y,,,
BG-YM,Colour reversal,48,Y,,,
BG-YM,Colour reversal,49,N,,,
BG-YM,Colour reversal,50,Y,,,
BG-YM,Colour reversal,51,N,,,
BG-YM,Colour reversal,52,Y,,,
BG-YM,Colour reversal,53,Y,,,
BG-YM,Colour reversal,54,Y,,,
BG-YM,Colour reversal,55,Y,,,
BG-YM,Colour reversal,56,N,,,
BG-YM,Colour reversal,57,Y,,,
BG-YM,Colour reversal,58,N,,,
BG-YM,Colour reversal,59,Y,,,
BG-YM,Colour reversal,60,N,,,
BG-YM,Colour reversal,61,N,,,
BG-YM,Colour reversal,62,Y,,,
BG-YM,Colour reversal,63,N,,,
BG-YM,Colour reversal,64,Y,,,
BG-YM,Colour reversal,65,Y,,,
BG-YM,Colour reversal,66,Y,,,
BG-YM,Colour reversal,67,Y,,,
BG-YM,Colour reversal,68,Y,,,
BG-YM,Colour reversal,69,N,,,
BG-YM,Colour reversal,70,Y,,,
BG-YM,Colour reversal,71,N,,,
BG-YM,Colour reversal,72,N,,,
BG-YM,Colour reversal,73,Y,,,
BG-YM,Colour reversal,74,Y,,,
BG-YM,Colour reversal,75,Y,,,
BG-YM,Colour reversal,76,Y,,,
BG-YM,Colour reversal,77,N,,,
BG-YM,Colour reversal,78,Y,,,
BG-YM,Colour reversal,79,N,,,
BG-YM,Colour reversal,80,Y,,,
BG-YM,Colour reversal,81,Y,,,
BG-YM,Colour reversal,82,Y,,,
BG-YM,Colour reversal,83,N,,,
BG-YM,Colour reversal,84,Y,,,
BG-YM,Colour reversal,85,Y,,,
BG-YM,Colour reversal,86,Y,,,
BG-YM,Colour reversal,87,Y,,,
BG-YM,Colour reversal,88,Y,,,
BG-YM,Colour reversal,89,Y,,,
